Bug ID,Project Name,Record ID,Author,Reported By,Keyword,URL,CommiteDate,ReportDate,lag,Source,Same,,,,,,,
45781,aros,eb56b10,ezrec,Steve Ellcey,environment,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=45781,2013/6/3,2010/9/24,983,gcc,2,,,total,same,different,,
51969,aros,aac5b3d,ezrec,Markus Trippelsdorf,environment,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=51969,2012/11/29,2012/1/23,311,gcc,2,,environment,5,0,5,,
44351,freebsd,89c1e83,arichardson,Alexander Richardson,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=44351,2020/10/14,2019/12/19,300,llvm,1,,diagnostic,109,44,65,,
44351,freebsd,a31993f,Alex Richardson,Alexander Richardson,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=44351,2020/10/14,2019/12/19,300,llvm,1,,wrong-code,172,69,103,,
66425,freebsd,5a8dc1c,arichardson,Not Found,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66425,2020/9/10,2015/6/5,1924,gcc,1,,crash,55,20,35,,
66425,freebsd,0a81de3,Alex Richardson,Not Found,diagnostic,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66425,2020/9/10,2015/6/5,1924,gcc,1,,optimization,67,39,28,,
47041,freebsd,2005f26,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=47041,2020/8/18,2020/8/7,11,llvm,1,,rejects-valid,124,29,95,,
47041,freebsd,987992b,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=47041,2020/8/18,2020/8/7,11,llvm,1,,documentation,5,1,4,,
47041,freebsd,5006722,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=47041,2020/8/18,2020/8/7,11,llvm,1,,,,,,,
47041,freebsd,30e9d23,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=47041,2020/8/18,2020/8/7,11,llvm,1,,,same,different,total,,
47041,freebsd,b70eba5,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=47041,2020/8/17,2020/8/7,10,llvm,1,,freebsd,55,60,115,0.47826087,
47041,freebsd,b4e0f67,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=47041,2020/8/17,2020/8/7,10,llvm,1,,linux,136,231,367,0.370572207,
47181,freebsd,a362d17,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=47181,2020/8/16,2020/8/15,1,llvm,1,,zephyr,0,9,9,0,
47181,freebsd,9ff1cc5,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=47181,2020/8/16,2020/8/15,1,llvm,1,,aros,0,2,2,0,
44715,freebsd,aac336d,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=44715,2020/3/5,2020/1/30,35,llvm,1,,reactos,2,11,13,0.153846154,
44715,freebsd,a2037db,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=44715,2020/3/5,2020/1/30,35,llvm,1,,serenity,5,9,14,0.357142857,
92718,freebsd,88eb44d,Ryan Libby,Ryan Libby,"diagnostic, optimization",https://gcc.gnu.org/bugzilla/show_bug.cgi?id=92718,2019/11/29,2019/11/28,1,gcc,1,,openbsd,1,9,10,0.1,
92718,freebsd,867c75c,rlibby,Ryan Libby,"diagnostic, optimization",https://gcc.gnu.org/bugzilla/show_bug.cgi?id=92718,2019/11/29,2019/11/28,1,gcc,1,,,199,331,530,0.375471698,
43402,freebsd,8b1412a,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=43402,2019/9/24,2019/9/23,1,llvm,1,,,,,,,
43402,freebsd,3538987,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=43402,2019/9/24,2019/9/23,1,llvm,1,,,fix time,create,,,
43269,freebsd,ceb1981,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=43269,2019/9/14,2019/9/10,4,llvm,1,,freebsd,468.7304348,2011/9/5,,,
43269,freebsd,24b1a5b,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=43269,2019/9/14,2019/9/10,4,llvm,1,,linux,647.9182561,2011/9/4,,,
41121,freebsd,211f2e5,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41121,2019/9/7,2019/3/18,173,llvm,1,,zephyr,2440.111111,2016/5/26,,,
41121,freebsd,b7e6cfc,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41121,2019/9/7,2019/3/18,173,llvm,1,,aros,647,2019/5/17,,,
43212,freebsd,24ea146,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=43212,2019/9/6,2019/9/3,3,llvm,1,,reactos,796.6153846,2017/10/3,,,
43212,freebsd,2291b00,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=43212,2019/9/6,2019/9/3,3,llvm,1,,serenity,444.9285714,2018/12/2,,,
43119,freebsd,4b3b82a,Kyle Evans,Kyle Evans,rejects-valid,https://bugs.llvm.org/show_bug.cgi?id=43119,2019/9/2,2019/8/26,7,llvm,1,,openbsd,1324.3,2016/8/30,,,
43119,freebsd,6bddb14,kevans,Kyle Evans,rejects-valid,https://bugs.llvm.org/show_bug.cgi?id=43119,2019/9/2,2019/8/26,7,llvm,1,,,,,,,
41998,freebsd,d80439b,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41998,2019/7/2,2019/5/23,40,llvm,1,,,,,,,
41998,freebsd,ec796a0,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41998,2019/7/2,2019/5/23,40,llvm,1,,,,,,,
42010,freebsd,0b30b98,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=42010,2019/5/26,2019/5/24,2,llvm,1,,,,,,,
42010,freebsd,b9ba849,dim,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=42010,2019/5/26,2019/5/24,2,llvm,1,,Kernel,commit,commit-compiler bug,LOC,create-time,AMR
41417,freebsd,6889af8,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41417,2019/5/8,2019/4/7,31,llvm,1,,freebsd,109,115,21.44,2011/9/5,0.47826087
41417,freebsd,5446f43,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41417,2019/5/8,2019/4/7,31,llvm,1,,linux,340,367,28.29,2011/9/4,0.370572207
41116,freebsd,94e9dcf,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41116,2019/3/23,2019/3/17,6,llvm,1,,zephyr,9,9,2.67,2016/5/26,0
41116,freebsd,91e6811,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=41116,2019/3/23,2019/3/17,6,llvm,1,,aros,2,2,2.67,2019/5/17,0
40986,freebsd,e6ec44c,Dimitry Andric,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=40986,2019/3/12,2019/3/6,6,llvm,1,,reactos,11,13,8.77,2017/10/3,0.153846154
40986,freebsd,d64d00c,dim,Dimitry Andric,optimization,https://bugs.llvm.org/show_bug.cgi?id=40986,2019/3/12,2019/3/6,6,llvm,1,,serenity,13,14,1.15,2018/12/2,0.357142857
40206,freebsd,c232a6c,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/10,2019/1/2,39,llvm,1,,openbsd,10,10,22.56,2016/8/30,0.1
40206,freebsd,b11436d,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/10,2019/1/2,39,llvm,1,,total,494,530,87.55,,0.375471698
40206,freebsd,bc8fc00,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
40206,freebsd,8eb3289,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
40206,freebsd,94ba333,Dimitry Andric,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
40206,freebsd,3a3bb53,dim,Dimitry Andric,wrong-code,https://bugs.llvm.org/show_bug.cgi?id=40206,2019/2/9,2019/1/2,38,llvm,1,,,,,,,
37133,freebsd,6ec30ab,Dimitry Andric,Dimitry Andric,crash,https://bugs.llvm.org/show_bug.cgi?id=37133,2018/4/14,2018/4/14,0,llvm,1,,,,,,,
