Record ID,Bug ID,Author,Source,URL,Project,CommitDate
eb56b10,45781,ezrec,gcc,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=45781,aros,2013-06-03
aac5b3d,51969,ezrec,gcc,http://gcc.gnu.org/bugzilla/show_bug.cgi?id=51969,aros,2012-11-29
f32e563,44511,rlibby,gcc,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=44511,freebsd,2020-12-12
6d75905,44511,Ryan Libby,gcc,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=44511,freebsd,2020-12-12
9f897bf,47660,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=47660,freebsd,2020-11-08
1ee2434,47660,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=47660,freebsd,2020-11-08
89c1e83,44351,arichardson,llvm,https://bugs.llvm.org/show_bug.cgi?id=44351,freebsd,2020-10-14
a31993f,44351,Alex Richardson,llvm,https://bugs.llvm.org/show_bug.cgi?id=44351,freebsd,2020-10-14
5a8dc1c,66425,arichardson,gcc,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66425,freebsd,2020-09-10
0a81de3,66425,Alex Richardson,gcc,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=66425,freebsd,2020-09-10
2005f26,47041,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=47041,freebsd,2020-08-18
987992b,47041,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=47041,freebsd,2020-08-18
5006722,47041,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=47041,freebsd,2020-08-18
30e9d23,47041,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=47041,freebsd,2020-08-18
b70eba5,47041,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=47041,freebsd,2020-08-17
b4e0f67,47041,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=47041,freebsd,2020-08-17
a362d17,47181,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=47181,freebsd,2020-08-16
9ff1cc5,47181,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=47181,freebsd,2020-08-16
dd5d004,43976,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=43976,freebsd,2020-04-21
5c94a87,43976,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=43976,freebsd,2020-04-21
6f7003b,40554,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=40554,freebsd,2020-04-16
6f7003b,45186,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=45186,freebsd,2020-04-16
f64e2fa,40554,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=40554,freebsd,2020-04-16
f64e2fa,45186,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=45186,freebsd,2020-04-16
72724ec,41083,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=41083,freebsd,2020-03-19
e39dad6,41083,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=41083,freebsd,2020-03-19
146b3c6,43839,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=43839,freebsd,2020-03-07
fc7efa1,43839,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=43839,freebsd,2020-03-07
aac336d,44715,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=44715,freebsd,2020-03-05
a2037db,44715,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=44715,freebsd,2020-03-05
2a168f0,44396,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=44396,freebsd,2020-01-02
4599184,44396,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=44396,freebsd,2020-01-02
88eb44d,92718,Ryan Libby,gcc,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=92718,freebsd,2019-11-29
867c75c,92718,rlibby,gcc,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=92718,freebsd,2019-11-29
8b1412a,43402,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=43402,freebsd,2019-09-24
3538987,43402,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=43402,freebsd,2019-09-24
ceb1981,43269,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=43269,freebsd,2019-09-14
24b1a5b,43269,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=43269,freebsd,2019-09-14
211f2e5,43121,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=43121,freebsd,2019-09-07
211f2e5,41121,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=41121,freebsd,2019-09-07
b7e6cfc,43121,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=43121,freebsd,2019-09-07
b7e6cfc,41121,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=41121,freebsd,2019-09-07
24ea146,43212,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=43212,freebsd,2019-09-06
2291b00,43212,dim,llvm,https://bugs.llvm.org/show_bug.cgi?id=43212,freebsd,2019-09-06
4b3b82a,43119,Kyle Evans,llvm,https://bugs.llvm.org/show_bug.cgi?id=43119,freebsd,2019-09-02
6bddb14,43119,kevans,llvm,https://bugs.llvm.org/show_bug.cgi?id=43119,freebsd,2019-09-02
d80439b,31181,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=31181,freebsd,2019-07-02
d80439b,41998,Dimitry Andric,llvm,https://bugs.llvm.org/show_bug.cgi?id=41998,freebsd,2019-07-02
