Record ID,Bug ID,Source,Project,,,,,
eb56b10,45781,gcc,aros,,,kernel,commit-bug,commit
aac5b3d,51969,gcc,aros,,,linux,367,340
f32e563,44511,gcc,freebsd,,,freebsd,115,109
6d75905,44511,gcc,freebsd,,,serenity,14,13
9f897bf,47660,llvm,freebsd,,,reactos,13,11
1ee2434,47660,llvm,freebsd,,,openbsd,10,10
89c1e83,44351,llvm,freebsd,,,zephyr,9,9
a31993f,44351,llvm,freebsd,,,aros,2,2
5a8dc1c,66425,gcc,freebsd,,,total,530,494
0a81de3,66425,gcc,freebsd,,,,,
2005f26,47041,llvm,freebsd,,,,,
987992b,47041,llvm,freebsd,,,,,
5006722,47041,llvm,freebsd,,,,,
30e9d23,47041,llvm,freebsd,,,,,
b70eba5,47041,llvm,freebsd,,,,,
b4e0f67,47041,llvm,freebsd,,,,,
a362d17,47181,llvm,freebsd,,,,,
9ff1cc5,47181,llvm,freebsd,,,,,
dd5d004,43976,llvm,freebsd,,,,,
5c94a87,43976,llvm,freebsd,,,,,
6f7003b,40554,llvm,freebsd,,,,,
6f7003b,45186,llvm,freebsd,,,,,
f64e2fa,40554,llvm,freebsd,,,,,
f64e2fa,45186,llvm,freebsd,,,,,
72724ec,41083,llvm,freebsd,,,,,
e39dad6,41083,llvm,freebsd,,,,,
146b3c6,43839,llvm,freebsd,,,,,
fc7efa1,43839,llvm,freebsd,,,,,
aac336d,44715,llvm,freebsd,,,,,
a2037db,44715,llvm,freebsd,,,,,
2a168f0,44396,llvm,freebsd,,,,,
4599184,44396,llvm,freebsd,,,,,
88eb44d,92718,gcc,freebsd,,,,,
867c75c,92718,gcc,freebsd,,,,,
8b1412a,43402,llvm,freebsd,,,,,
3538987,43402,llvm,freebsd,,,,,
ceb1981,43269,llvm,freebsd,,,,,
24b1a5b,43269,llvm,freebsd,,,,,
211f2e5,43121,llvm,freebsd,,,,,
211f2e5,41121,llvm,freebsd,,,,,
b7e6cfc,43121,llvm,freebsd,,,,,
b7e6cfc,41121,llvm,freebsd,,,,,
24ea146,43212,llvm,freebsd,,,,,
2291b00,43212,llvm,freebsd,,,,,
4b3b82a,43119,llvm,freebsd,,,,,
6bddb14,43119,llvm,freebsd,,,,,
d80439b,31181,llvm,freebsd,,,,,
d80439b,41998,llvm,freebsd,,,,,
ec796a0,31181,llvm,freebsd,,,,,
ec796a0,41998,llvm,freebsd,,,,,
0b30b98,42010,llvm,freebsd,,,,,
b9ba849,42010,llvm,freebsd,,,,,
6889af8,41417,llvm,freebsd,,,,,
5446f43,41417,llvm,freebsd,,,,,
94e9dcf,41116,llvm,freebsd,,,,,
91e6811,41116,llvm,freebsd,,,,,
e6ec44c,40986,llvm,freebsd,,,,,
d64d00c,40986,llvm,freebsd,,,,,
381ab04,40712,llvm,freebsd,,,,,
844d2d3,40712,llvm,freebsd,,,,,
54553da,38530,llvm,freebsd,,,,,
cd43497,38530,llvm,freebsd,,,,,
c232a6c,40206,llvm,freebsd,,,,,
b11436d,40206,llvm,freebsd,,,,,
bc8fc00,40206,llvm,freebsd,,,,,
8eb3289,40206,llvm,freebsd,,,,,
94ba333,40206,llvm,freebsd,,,,,
3a3bb53,40206,llvm,freebsd,,,,,
b371a9f,37538,llvm,freebsd,,,,,
22612b4,37538,llvm,freebsd,,,,,
f545058,38798,llvm,freebsd,,,,,
2430a7e,38798,llvm,freebsd,,,,,
af5b964,34347,llvm,freebsd,,,,,
ef28bd8,34347,llvm,freebsd,,,,,
a0e8aab,36432,gcc,freebsd,,,,,
4b1911f,36432,gcc,freebsd,,,,,
6609261,83201,gcc,freebsd,,,,,
26c8a03,83201,gcc,freebsd,,,,,
6ec30ab,37133,llvm,freebsd,,,,,
5a917c0,37133,llvm,freebsd,,,,,
c85e8ae,35724,llvm,freebsd,,,,,
bf22ec6,35724,llvm,freebsd,,,,,
187000,36116,llvm,freebsd,,,,,
077d36a,36116,llvm,freebsd,,,,,
14bd370,36577,llvm,freebsd,,,,,
a3fedce,36577,llvm,freebsd,,,,,
5a559c7,24239,gcc,freebsd,,,,,
e4803b1,24239,gcc,freebsd,,,,,
89a9f9b,31362,llvm,freebsd,,,,,
b1562cf,31362,llvm,freebsd,,,,,
144a105,35788,llvm,freebsd,,,,,
18a7633,35788,llvm,freebsd,,,,,
5d163b0,35749,llvm,freebsd,,,,,
2055323,35749,llvm,freebsd,,,,,
5826cfa,31582,llvm,freebsd,,,,,
a6aca65,31582,llvm,freebsd,,,,,
14adb10,35023,llvm,freebsd,,,,,
30347b7,35023,llvm,freebsd,,,,,
04dc31b,32142,llvm,freebsd,,,,,
d754696,32142,llvm,freebsd,,,,,
47616ff,78968,gcc,freebsd,,,,,
b7c7684,78968,gcc,freebsd,,,,,
6976026,39219,gcc,freebsd,,,,,
e277c15,39219,gcc,freebsd,,,,,
1bb3c00,67888,gcc,freebsd,,,,,
4c92141,67888,gcc,freebsd,,,,,
76a5c6a,48211,gcc,freebsd,,,,,
bf1cd11,48211,gcc,freebsd,,,,,
b42a695,48211,gcc,freebsd,,,,,
b3f67be,33256,gcc,freebsd,,,,,
e93013a,33256,gcc,freebsd,,,,,
3fcd159,35965,gcc,freebsd,,,,,
da5a448,35965,gcc,freebsd,,,,,
062f7fc,31899,gcc,freebsd,,,,,
f667763,31899,gcc,freebsd,,,,,
a099abc,32500,gcc,freebsd,,,,,
3f5b2c2,32500,gcc,freebsd,,,,,
aef25be,99714,llvm issues,linux,,,,,
d938150,117912,gcc,linux,,,,,
5fe6caa,85647,llvm issues,linux,,,,,
5b188cc,116912,gcc,linux,,,,,
0b98465,57031,llvm issues,linux,,,,,
894b00a,117196,gcc,linux,,,,,
f2f6a8e,113921,gcc,linux,,,,,
dbaaabd,20571,llvm issues,linux,,,,,
8092162,88119,llvm issues,linux,,,,,
9bf4e91,85647,llvm issues,linux,,,,,
8.17E+12,55520,llvm issues,linux,,,,,
2abcd95,55520,llvm issues,linux,,,,,
309422d,55520,llvm issues,linux,,,,,
af682b7,82339,gcc,linux,,,,,
b6540de,111736,gcc,linux,,,,,
9c1b86f,38013,llvm issues,linux,,,,,
68fb3ca,103979,gcc,linux,,,,,
68fb3ca,113921,gcc,linux,,,,,
4356e9f,98619,gcc,linux,,,,,
4356e9f,110420,gcc,linux,,,,,
4356e9f,110422,gcc,linux,,,,,
90773aa,113214,gcc,linux,,,,,
774ef5d,113214,gcc,linux,,,,,
cda5f94,71001,llvm issues,linux,,,,,
8deb05c,77813,llvm issues,linux,,,,,
021d234,50505,llvm issues,linux,,,,,
021d234,59350,llvm issues,linux,,,,,
021d234,65090,llvm issues,linux,,,,,
61a40c1,55669,llvm issues,linux,,,,,
588a90a,95755,gcc,linux,,,,,
ca06ef9,95755,gcc,linux,,,,,
e29aad0,111736,gcc,linux,,,,,
89775a2,99090,gcc,linux,,,,,
ae7936d,64080,llvm issues,linux,,,,,
7a0fd5e,110899,gcc,linux,,,,,
71c8f9c,110743,gcc,linux,,,,,
71c8f9c,108402,gcc,linux,,,,,
c40e60f,78736,gcc,linux,,,,,
8bcf314,55520,llvm issues,linux,,,,,
d24da1f,63220,llvm issues,linux,,,,,
6d074ce,107405,gcc,linux,,,,,
dd06e72,108896,gcc,linux,,,,,
09e8c25,108370,gcc,linux,,,,,
09e8c25,108371,gcc,linux,,,,,
514ca14,94722,gcc,linux,,,,,
d966c3c,44842,llvm issues,linux,,,,,
9df3f50,94891,gcc,linux,,,,,
a3046a6,99652,gcc,linux,,,,,
9af0f55,82457,gcc,linux,,,,,
51287dc,108777,gcc,linux,,,,,
1a2c73f,61045,llvm issues,linux,,,,,
2508708,108483,gcc,linux,,,,,
1a30a6b,101832,gcc,linux,,,,,
8849818,53383,gcc,linux,,,,,
78f7a3f,60349,llvm issues,linux,,,,,
5a6b64a,108634,gcc,linux,,,,,
16a738f,101836,gcc,linux,,,,,
87c7ee6,59037,llvm issues,linux,,,,,
8f9e0a5,88345,gcc,linux,,,,,
c27cd08,88345,gcc,linux,,,,,
56c5dab,36113,gcc,linux,,,,,
6a7ee50,50764,llvm issues,linux,,,,,
09ccde9,101836,gcc,linux,,,,,
ff1cc97,36113,gcc,linux,,,,,
2d4ee16,36113,gcc,linux,,,,,
f077880,107917,gcc,linux,,,,,
f077880,107405,gcc,linux,,,,,
ab0350c,12213,gcc,linux,,,,,
278ab97,97490,gcc,linux,,,,,
6f6cb17,41896,llvm issues,linux,,,,,
25b2483,101836,gcc,linux,,,,,
b5e72d2,96503,gcc,linux,,,,,
6fa57d7,96503,gcc,linux,,,,,
bd3fe58,101836,gcc,linux,,,,,
93e3f45,82365,gcc,linux,,,,,
93e3f45,106751,gcc,linux,,,,,
7989d0b,101836,gcc,linux,,,,,
e50db38,101836,gcc,linux,,,,,
d96d0f9,101836,gcc,linux,,,,,
1d2e9b6,55656,llvm issues,linux,,,,,
a2faac3,48894,llvm,linux,,,,,
3.2E+261,101836,gcc,linux,,,,,
c81c5bd,101836,gcc,linux,,,,,
26117d9,105679,gcc,linux,,,,,
542f25a,101836,gcc,linux,,,,,
2577a58,105679,gcc,linux,,,,,
d174768,105679,gcc,linux,,,,,
aabf615,105679,gcc,linux,,,,,
4af609b,105679,gcc,linux,,,,,
943deb6,101836,gcc,linux,,,,,
865dad2,107048,gcc,linux,,,,,
fd2f045,101836,gcc,linux,,,,,
54d9469,101832,gcc,linux,,,,,
c0a454b,106671,gcc,linux,,,,,
b0839b2,57102,llvm issues,linux,,,,,
a0a12c3,48637,gcc,linux,,,,,
ffcf9c5,57009,llvm issues,linux,,,,,
0d362be,57009,llvm issues,linux,,,,,
1d3551c,105930,gcc,linux,,,,,
cb928ac,57031,llvm issues,linux,,,,,
a4cb6e6,55520,llvm issues,linux,,,,,
e2b5421,101836,gcc,linux,,,,,
43c249e,58670,gcc,linux,,,,,
e5d523f,56289,llvm issues,linux,,,,,
1b86678,48553,llvm issues,linux,,,,,
1841025,55578,gcc,linux,,,,,
1841025,90400,gcc,linux,,,,,
e830315,55514,llvm issues,linux,,,,,
dfe21e6,105679,gcc,linux,,,,,
7e41528,102103,gcc,linux,,,,,
1a6dd99,55520,llvm issues,linux,,,,,
aeb8441,99578,gcc,linux,,,,,
e9953b7,55411,llvm issues,linux,,,,,
95fee37,56888,gcc,linux,,,,,
2df3fc4,105160,gcc,linux,,,,,
1aa0e8b,98096,gcc,linux,,,,,
c40160f,105171,gcc,linux,,,,,
b06a175,99578,gcc,linux,,,,,
b027471,45831,llvm,linux,,,,,
281d0c9,41459,llvm,linux,,,,,
281d0c9,53516,llvm issues,linux,,,,,
281d0c9,53645,llvm issues,linux,,,,,
f0202b8,53516,llvm issues,linux,,,,,
545c272,99578,gcc,linux,,,,,
b53823f,52735,llvm issues,linux,,,,,
b53823f,58670,gcc,linux,,,,,
b53823f,103908,gcc,linux,,,,,
f23653f,100379,gcc,linux,,,,,
d72c4a3,47798,llvm,linux,,,,,
e463a09,52323,llvm,linux,,,,,
e463a09,102952,gcc,linux,,,,,
68cf4f2,52323,llvm,linux,,,,,
68cf4f2,102952,gcc,linux,,,,,
f7e5b9b,100363,gcc,linux,,,,,
dee2b70,51094,llvm,linux,,,,,
2dc26d9,51682,llvm,linux,,,,,
ecb108e,45826,llvm,linux,,,,,
ecb108e,94986,gcc,linux,,,,,
34186b4,99578,gcc,linux,,,,,
eb19efe,99673,gcc,linux,,,,,
5c34aea,97831,gcc,linux,,,,,
a52f8a5,50322,llvm,linux,,,,,
a52f8a5,41459,llvm,linux,,,,,
7d1be0a,69960,gcc,linux,,,,,
d5f6545,99578,gcc,linux,,,,,
b83a908,16428,llvm,linux,,,,,
c42813b,102162,gcc,linux,,,,,
e432fe9,51634,llvm,linux,,,,,
69aa1de,101419,gcc,linux,,,,,
1d74a91,101419,gcc,linux,,,,,
4cad671,100363,gcc,linux,,,,,
380d53c,80223,gcc,linux,,,,,
51696f3,49610,llvm,linux,,,,,
558f9b2,40838,gcc,linux,,,,,
f747e66,19449,gcc,linux,,,,,
2515dd6,49956,llvm,linux,,,,,
778aaef,100363,gcc,linux,,,,,
